id,qid1,qid2,question1,question2,is_duplicate
274635,540036,540037,Where can you spend your money if you are a billionaire?,How do billionaires spend their money?,0
280966,552323,552324,Why are mixed raced people considered black?,Is it wrong to consider mixed race people black?,0
8021,16022,16023,Will I lose weight by only drinking water?,Couldn't we lose weight just by drinking ice cold water?,1
160918,318159,318160,How do I evaluate the  integral [math]\int\frac{cos(6x)}{cos(3x)*cos(5x)} [/math]?,What is integral of inverse of cos?,0
309430,607439,607440,Why does the Greek language sound like Spanish?,Why does the Greek language sound so much like Spanish?,1
80506,159921,159922,Who is the fastest woman in the world?,Who is the fastest woman athlete in the world?,0
109563,217265,217266,Who is using Apache Falcon?,Can I use Apache storm in PHP?,0
12536,25029,25030,Can I take NyQuil and Sudafed at the same time?,What are the dangers of taking Cymbalta and Valium at the same time?,0
252523,497134,497135,How many copies of 'two states' novel written by Mr. Chetan Bhagat have been sold out? What percentage of the retail price does he get as royalty? Are there any other way of knowing it?,Are Chetan Bhagat novels really that bad?,0
358737,702499,702500,Is there a way for a home cook to make a Burger King burger that tastes like a Burger King burger?,How does Burger King cook their burgers?,0
403042,787302,787303,How do you feel while skydiving?,How does it feel to skydive?,0
191086,377240,377241,What's your favorite poem?,What are your favorite poems?,1
88319,175376,175377,What are the best PS4 games for couples?,What are some good ps4 games?,0
124727,247133,247134,How do we perceive the world?,"Is what we perceive, the world?",0
328368,644002,644003,When is surge pricing on Uber generally in effect in Miami Beach and how high does it go?,When is surge pricing on Uber generally in effect in Miami and how high does it go?,0
318474,624877,624878,What should I know before interviewing for a car dealership sales associate position?,Would it be beneficial to do cocaine before interviewing for a sales position?,0
126987,251577,251578,How do I know my life partner loves me truly?,How do you know if your partner loves you?,1
9226,18426,18427,"How should you deal with friends who constantly ask for help, but when you struggle they don't even bother helping?",I don't feel like lending my hard earned money to friends when they ask for help. I lost some trust by saying no. Am I correct?,0
154925,306401,306402,"What do you think, can Airpods be compatible to iPhone 6?","Do Apple Airpods use bluetooth, or something else? What about when they are being used paired with an iPhone 6, is it still the same?",0
163369,322973,322974,What might be the cause for a missed period 3 months in a row?,What can cause a woman's period to be late?,1
335792,617589,658361,What is the community like at Wordpress.com?,Is there any Wordpress theme similar to blog.intercom.com?,0
247405,487187,487188,Is mandolin easy to learn?,What are mandolin songs that are easy to learn?,0
199640,393982,393983,What do I need to to in my life?,What do you need in life?,0
155447,307427,307428,What are some best books for the prepration of MPPSC exam?,What are the best books for preparing for the MPPSC prelims exam?,1
296350,582123,582124,What is Quora's user demographic?,What is Quora's users demographic? (who use Quora),1
128693,254933,254934,Why do people hate Bill Clinton?,What has Barack Obama done that gets so many people angry?,0
64614,128484,128485,Why is swamping resistance used in moving coil instruments?,What is use of choke coil across fluorescent lamp?,0
99628,197708,197709,What is difference between neutral and earthing?,"What is the difference between earthing, grounding and neutral?",0
342098,670533,670534,"In Biology, what is the difference between species and race?",Can we say different races among humans are different species or subspecies of human?,0
274324,539432,539433,What's it like being in a band that is continuously smoking weed?,Bands: I wonder how do giants like Iron Maiden and Metallica write and compose songs. Are they continuously jamming? Do the songs just come out of nowhere?,0
355650,696535,392325,How can I become a wildlife photographer?,How do I become a wildlife photographer?,1
37686,75086,75087,Are there some games to improve my memory?,What are some exercises or games I can do to improve my memory and creativity?,1
349394,684523,684524,How do I invest in stock?,How do invest in stocks?,1
187218,369678,369679,What are the easy ways to earn money online?,How do I earn money from the Internet?,1
256544,504951,504952,Did Geeta Phogat's coach actually lock her Father up during CWG finals?,What is it like to be raised by an Indian father?,0
40041,79759,79760,How do I stop wasting my time? Could that be possible?,How do you avoid wasting time?,1
313723,615733,615734,What do you do to overcome writer's block?,"What's the best way, in your opinion, to get over crippling writer's block?",1
86554,171886,171887,Do psychiatrists help people?,Do psychiatrists really help?,1
156001,308515,308516,Why is a red onion red?,Why is red onion actually purple?,0
50056,99637,99638,"When having a professional email conversation, is it proper etiquette to start each email with ""Hello"" despite already saying it in the starting email?",What is email etiquette?,0
223463,440442,440443,What is Roger Federer like in real life?,How is Roger Federer off the court?,1
341586,669548,669549,What are some examples of social justice issues in Asia?,What are some examples of issues with social justice in Asia?,1
147144,291140,291141,How is Ahmedabad as a city?,What is special about Ahmedabad city?,1
265929,523174,523175,How do I learn algorithm?,What is the best way to learn Algorithm?,1
395528,772911,772912,Who is most reachest Bollywood actor?,Who is the most over-rated Bollywood actor/actress?,0
348912,683600,683601,"I am an Indian commerce student studying in 12th. After my 12th, if I want to learn Android app developing and website making and online business, which career option should I choose: an MBA or some other degree course?","I am an Indian commerce student studying in 12th. After my 12th, if I want to learn Android app developing, website making and online business, which career option should I choose?",1
77628,154232,154233,What is alluvial soil?,How are alluvial soil formed?,0
165525,327181,327182,What is an allergy shot?,How do allergy shots work?,0
233613,460264,460265,Can you get high in the slightest bit if you accidentally ingest a few microscopic specks of weed?,Will you feel something if you accidentally without knowing ingested a few specks of weed?,1
266301,523895,523896,What is the best possible treatment for this diagnosis?,"What are the best restaurants to try when visiting El-Mahalla El-Kubra, Egypt? What should you try while you're there?",0
81842,162566,162567,What is the broadest field of engineering?,Which field of engineering gives the highest salary?,0
308457,605543,605544,Where shall I get a distant civil engineering degree?,How do you get a civil engineering degree?,0
148435,293668,293669,How do I move on from breakup?,How do I move on after a very bad breakup?,1
330191,647526,647527,Is the USA's missile defense system a threat to global security?,What kind of airs available in sun? If not how it create storm?,0
176331,348349,348350,What is the difference between seagate expansion and Seagate Backup Plus external hard drive?,Which one should I buy: Seagate Backup Plus Slim or Western Digital My Passport Ultra?,0
196939,388692,388693,How can I speak American accent fluently?,How can I learn American accent fluently?,1
342346,671008,671009,What are good gifts for a foreign visitor to bring when they're invited to someone's home in Canada for the first time?,What are good gifts for a foreign visitor to bring when they're invited to someone's home in Albania for the first time?,0
181927,359310,359311,What are some things new employees should know going into their first day at Access National?,What are some things new employees should know going into their first day at Park National?,0
166521,329125,329126,Can you help me to find this korean music video ? Description below.,I am looking for a song whose video has a rich old man and a blindfolded girl (a stripper maybe) dancing for him. Any help?,0
171022,337937,337938,What are your favorite books on The Confederate States of America?,What are the best books about the Confederate States of America?,0
252091,496289,496290,Does terrorism cause states to fail or do failed states spawn terrorism?,Why the countries fail to move together fight against terrorism?,0
308079,604812,604813,What is The Lord of the Rings about?,What exactly is the ring in The Lord of the Rings?,0
205326,405093,405094,What is a suitable inpatient drug and alcohol rehab center near Russell County AL?,What is a suitable inpatient drug and alcohol rehab center near Jackson County AL?,0
240323,473369,473370,How do I know which person I am in love with?,How do I know whether I am in love with a person or not?,0
167598,331233,331234,Is multiple sclerosis an autoimmune disease or not?,Is multiple sclerosis genetic?,0
229574,452408,452409,Why is my diet not working?,Do diets work without exercise? How?,0
251496,495127,495128,How hard will it be to take CBAP certification?,Do I need to take an IT certification? I'm a senior CS student?,0
9984,19936,19937,What are some good books on cell physiology?,What is the best book on renal physiology?,0
87446,173645,173646,Is it rumour that ₹2000 note will be banned after 30 December 2016?,Will the 2000 note be demonetized on 31 December 2016?,1
378407,740156,740157,What is it like to be an expert in something?,What is an expert?,0
400724,782839,782840,Do crazy thoughts show on the outside?,"Some unwanted negative thoughts just play on my mind continuously, they don't seem to go away. It drives me crazy. What is some help?",0
209865,413963,413964,Can an electric motor run itself?,"Can an electric motor run a generator to power its self using semi-perpetual, kinetic motion?",1
157443,311344,311345,When is surge pricing on Uber generally in effect in Baltimore and how high does it go?,When is surge pricing on Uber generally in effect in Atlanta and how high does it go?,0
393173,768413,768414,How do nonprofit organizations make money?,How do nonprofits make money?,1
56616,112641,112642,What is Hillary Clinton’s view on illegal immigration? How does she plan to deal with this issue?,Hillary Clinton: What action will you take on US illegal immigrants issue?,1
225668,444767,444768,Which African country got independence last? Why?,How did china got their independence?,0
364052,712648,712649,What was the worst advice you have ever received?,What is the worst advice on selling you ever received?,0
273160,537178,228590,How much cocaine can you do before you overdose?,Is it possible to overdose on marijuana?,0
98058,194617,194618,How do I lose 38 pounds in a year?,How should I lose weight?,1
365265,714986,65514,How does someone become influential?,How can I become influential?,0
18931,37774,37775,What is the difference between idioms and phrases?,"What is the basic difference between an idiom, a proverb, and a phrase?",0
161727,319749,319750,What are the must to write in a cover letter?,"How can one write the perfect cover letter, step by step?",1
327084,641513,641514,Why is revenge not good and justice is good?,Revenge is good or not?,1
220759,435180,435181,Which are the highest paying software startups in Bengaluru?,Which are the highest paying software companies in Bengaluru?,1
332236,651481,651482,How can I learn to become more disciplined?,How can I learn how to be disciplined in school?,0
253736,499474,47994,Why did the Greeks win the Persian Wars?,What would World War III look like?,0
290642,571040,571041,Which is highest paid job in civil engineering?,Which is the highest paid job in civil engineering field?,1
361144,707099,707100,How do I satisfy the girl during sex?,How we can satisfy a girl in sex?,1
392546,767221,767222,Why aren't there a lot of organizations for the elderly?,Have you blown the whistle on a coworker or boss?,0
331969,650961,650962,What are some ways to start a business?,How do I to start new business?,1
107424,213047,213048,How can I move from a non tech program manager to Technical program Manager to get a TPM role in Amazon ? What should be my starting points?,Is a move from a solution architecture to a program manager a good one?,0
169696,335341,335342,What should I do to change my IP while booking Tatkal tickets?,Apart from India are there any other countries having similar ticket booking system like Tatkal ticket (IRCTC)?,0
356254,697700,697701,Is it good to buy laptop online?,Is it good to buy a laptop online?,0
319229,626338,626339,What are other question-asking websites like Quora?,Are there other websites like Quora?,1
272812,536506,536507,Do Sony Bravia 3D tvs really have a feasible 3D effect or is it just a hoax or placebo effect?,"I am facing problem playing videos in Sony Bravia ex 55, using USB. It says playback not available, some one let me know what could be the reason?",0
191142,377350,377351,What is the most rewarding civil engineering discipline (salary wise)?,What is the Average salary for a Civil engineer in Australia.?,0
382569,748149,748150,Why does not LinkedIn refresh its news feed automatically?,How do I turn off my curated Facebook news feed?,0
225869,445159,445160,What is the differencr b/w fiscal policy and monetary policy?,What is fiscal policy and monetary policy management?,1
118345,234560,234561,What are the best games you can play by yourself with just pen and paper?,Why do some people use their smart phones just for playing stupid games? Did they spend that much money only to play games?,0
325907,639244,639245,Do animals commit suicide?,Do animals other than humans suicide?,1
246423,485276,485277,How do I get a job of test driver at lamborghini?,Can I get a good job in a Salesforce domain while switching from testing?,0
160596,317526,317527,How can I get an .edu email (without being in school)?,Is it illegal to use a fake .edu email to get student discounts?,0
365614,715654,715655,How will the ban on Rs 500 and 1000 notes impact the Indian economy?,How Indian economy got affected after ban of 500 1000 notes?,1
62866,125024,125025,"What are the most effective ways to whiten stained, yellowed teeth without spending a fortune at the dentist?",What can I do to whiten my teeth without a dentist?,1
384527,751893,751894,"What is the cheapest, tastiest, and healthiest dish for a university student?",What is the tastiest dish?,0
80612,160129,160130,Can we have sex in periods?,Can I do sex in periods?,1
169844,335629,335630,Is cunnilingus harmful?,Is cunnilingus unhealthy?,1
205906,406228,406229,What is the difference between a blue whale and a whale shark?,What are the differences between a blue whale and a whale shark?,1
45107,89822,89823,Does Coolpad Note 3 supports VoLTE?,Does Coolpad Note 3 support VoLTE?,1
339431,665389,665390,What are Security Features in AngularJS Application?,What are all the security features on a $100 bill?,0
369089,722321,722322,Which are the website for Free download pdf books?,Is there any site to download free books?,1
76728,152453,152454,Does Linkedin drug test potential employees?,Does Google drug test their potential employees?,0
224635,442747,442748,Why do so many people ask things on Quora that they could just as easily Google?,Why do people use Quora when they know that they could find a more accurate answer on Google?,1
198941,392616,392617,What is the Hrithik - Kangana matter?,Did Hrithik Roshan have an affair with Kangana Ranaut?,0
156584,309656,309657,Was Austria truly neutral during the cold war?,Was Alaska ever a flashpoint for any serious incidents during the Cold War?,0
238817,470428,470429,What is your favorite drink?,What's your favorite drink?,1
369248,722623,722624,I'm a 21 year old female who is extremely hairy. I have thick hair all over my body including my face. How do I get rid of them permanently naturally?,I am a 17 year old female and I have very hard growth of facial hair in my face. Can I get laser hair removal done for my face?,1
366396,717156,717157,"If parallel universes exist, why is ours so ordinary?","Could there exist an Universe, parallel to ours, where the light velocity be greater than in ours, which interacts with our Universe in a subtle way?",0
304743,598381,598382,How will Hillary Clinton influence the relationship between US and India if she becomes the President?,How will the India-US relationship change if Hillary Clinton becomes the President of the US ?,1
138486,274161,274162,The girl whom I loved secretly just called me bro in a conversation on WhatsApp. Does it mean I have no chance to approach her?,"A girl knows that I have loved her for 4 years. Today, she texted me, ""Happy Rakshabandhan, Bro."" What does that mean?",0
47600,94771,94772,How do I stop my Miniature Pinscher/Chihuahua mix to stop humping my furniture?,How do I stop my Australian Shepherd/Border Collie mix from humping my furniture?,1
147171,291193,291194,Is there a possibility that water will seep into your body when you take a shower?,Is chlorinated shower water bad for the more sensitive areas of the body?,0
346659,679292,679293,How could US voters have a vote of no confidence on our government?,"What does a ""vote of non-confidence"" mean?",0
69911,138958,138959,How can I become a race car or F1 driver?,What does it take to become a professional F1 driver?,1
285894,561864,561865,What's the best Eric Clapton song?,Which are the best songs of eric clapton?,1
270357,531749,531750,Is Donald Trump capable of running a country?,Is Donald Trump capable of running a country even though he does not have the following?,1
52230,103940,103941,Is cumming and squirting the same?,Is a female squirting and cumming the same?,1
33995,67748,67749,How can I lose 20 kgs in one year?,How can I lose weight quickly?,0
133561,264497,264498,What is it like to study in Sweden?,What is it like to study software engineering in Sweden?,0
259393,510498,510499,What is the amount of Maximum cash deposit in a saving bank account in a single financial year in India?,What is the amount of Maximum cash deposit in a saving bank account in a single financial year in India? Without paying income tax,1
54480,108407,108408,How do I qualify bank exams after repeated attempts?,How do I prepare and qualify for bank exams?,0
83778,166389,166390,How is the hostel food at SVNIT?,How is the living condition in SVNIT hostels?,0
231702,456545,456546,Why is the American flag displayed behind the podium during the president's State of the Union speech in a vertical way and reversed as well?,Do you know of any way we can ensure that all States provide the American people with the freedom to write-in their choice for President in November?,0
19587,39086,39087,Why don't I have motivation to do anything?,Why do I have no motivation to do anything?,1
94066,186742,186743,Is Metal gear Solid V hard?,Will there be a Metal Gear Solid 6?,0
9485,18943,18944,What is the best way to be more interesting?,What should I do to be interesting?,1
232760,458594,458595,Does Star Rating in refrigerators matter?, Which is the best refrigerator in 250 litres with 5 star ratings?,0
154597,265175,305760,Is there a correlation between forehead size and intelligence?,"Will ""psychiatry"" eventually go the way of Phrenology?",0
328500,598289,644262,"Did Peter Drucker actually say ""culture eats strategy for breakfast"" - and if so, where/when?","Is it correct to say ""she says me""?",0
186932,369116,369117,Is it necessary to show off your work? Is working honestly not enough?,What work would you do if you had enough money to not have to work?,0
357788,700656,700657,What is the most craziest thing you ever did in your life?,What is the most craziest thing ever did in your life?,1
198670,392087,392088,Why can I never lose weight?,Why can't I lose weight?,0
293971,577498,577499,How can you determine the chemical formula for ammonium oxalate?,How do you determine the chemical formula for sugar?,0
86775,172325,172326,How do college admissions officers attempt to detect forged or fraudulent application materials?,How long must an admission office keep application materials?,0
260297,512257,512258,What are the criteria for admitting foreign students in UPenn? And how much financial aid can they get?,How can I apply for financial aid for multiple classes at Coursera?,0
247397,487171,487172,I may get 153 mark in wb jee2016.what may be my rank?,What is the best way to create an animated .gif from a video (online)?,0
123837,245384,245385,"If you were the President of the United States, what would you do?",What would you do if you are elected President of United States?,1
120701,239197,239198,What is the best hospital for hair loss?,What is the best treatment for hair loss?,0
388460,759406,759407,What are some best college for doing MS in CS in California?,What are good colleges for doing MS in CS in Canada?,0
107153,212516,212517,I just realized that the book I was planning to write is too similar to a famous one. What should I do?,"If you're an author writing a series of books (novels or otherwise), did you plan out the series or did it just evolve?",0
335514,657822,657823,How do I start learning about economics?,What is the best way to start learning economics?,1
11384,22732,22733,What does it feel like to fall in love with someone in a short amount of time?,"Why can't I fall in love with someone? Why I don't feel love, hate, pain or happiness? Why am I always even?",0
250106,492421,492422,Why is vodka the preferred alcoholic drink by women?,Is vodka and whiskey a good drink?,0
270516,532056,532057,Can you divide infinity?,What is infinity divided by zero?,0
312000,612415,590059,How can I convert jazz standards to jazz guitar solo pieces?,How long have you been playing guitar for and can you solo over standard jazz chords to your satisfaction yet?,0
354957,695209,695210,What is top trending right now?,What is trending on Quora right now?,0
153925,304442,304443,"My Snapchat account is locked for 6 days now, how can I unlock it? I have deleted all the third party apps and I also tried the unlock link",How do I unlock my Snapchat account?,0
212020,418157,418158,Why does Kurama have a orange chakra mode?,What universities does Ormat Technologies recruit new grads from? What majors are they looking for?,0
72141,143371,143372,Can humans be immortal?,In the future: Can humans become immortals?,1
315407,618965,618966,"Have you ever felt intense, deep, pulsating horniness at an inconvenient time?",Can our body absorb systemic enzymes through our skin?,0
323251,634112,634113,How is the chemical formula of silver phosphate determined?,How is the chemical formula for gold (I) nitrate determined?,0
22405,44701,44702,Which is your favorite bollywood movie in 2016?,Which are the best Bollywood movies in 2016?,1
74328,147704,147705,What lead to the rise of independent regional powers after the decline of mughals?,In what ways did the US and Britain lead to the rise of and continued to support the Third Reich?,0
208399,411096,411097,"What is the way to use different kinds of pencils, such as 1h to 9b?",What tools are used to carve pencil lead?,0
303871,596696,596697,Why did I lose money on the stock market?,Why do traders lose money in the stock market?,1
299007,587293,587294,What did someone do that made you think they were really smart?,What did someone do that made you think that they were really smart?,1
246589,485595,485596,What age is best to retire from work and business?,What do you think is the best age to retire?,1
301967,593022,593023,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Constance?","Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Mamry?",0
327725,642759,642760,What is the best programming language I should learn as a beginner?,Which coding language is best to start with?,1
341957,670260,670261,The thought of self harm scares the shit out of me. Why do I look it up online?,Vodafone has scope after MBA?,0
344246,674669,674670,Should we have hope in the world?,Is there hope for the world?,0
139697,276534,276535,Is it possible for human to invent time machine?,Can we create a time machine?,1
349361,684459,684460,Which IIT is better for pursuing an Mtech in civil engineering?,What are the possible branches of Mtech that a civil engineer can choose in any IIT?,0
351163,687926,687927,"What does ""recipient name"" mean?",What is the difference between the U.S. and USA?,0
156291,309084,309085,"Why do people who support Narendra Modi, also support Israel?",Does Narendra Modi support Israel?,0
160171,110450,316696,Has Groupon been issuing stock options to new employees?,What should I do re: new valuation and stock options?,0
398654,778907,778908,Why doesn't India have a daylight saving system?,What are the reasons behind the poor performance of India in Olympics?,0
3124,6248,6249,In what ways are difference quotients and slopes related?,Why do entrepreneurs need to be resilient?,0
264484,520371,520372,Which is the best book to read on global manufacturing strategies?,"I have got a 800 on my Math level 2 and 780 on the Physics SAT Subject Test. Are these good for admission in Ivy Leagues, MIT and other such schools?",0
98633,195745,195746,What is best way to earn money without working hard?,Which is the best way to earn money without working hard give examples?,1
338148,662905,662906,How have objects changed over time?,How has us use of mirrors changed over time?,0
259314,510348,510349,What is a mechanical engineer?,What is mechanical engineering?,0
23567,47021,47022,Can anyone throw light on the placement scenario and future scope after doing 5 year Dual Degree course in Biochemical Engineering and Biotechnology from IIT Delhi?,What is the future scope of Geotechnical engineering from IITs (IIT Delhi)?,0
5789,11570,11571,How many calories are burn in stair climbing 150 stairs?,How many calories do you burn climbing 125 stairs?,0
261702,514968,514969,Am I dead for my ex? He does not even reply back to me on whatsapp,What are some beautiful Arabic or Urdu names for a new house?,0
1645,3291,3292,How I become a good teacher?,How do you become a good teacher?,1
310008,608566,608567,What is your resolution for this year 2017?,What Is your New year resolutions in 2017?,1
381928,746915,746916,Where you can seek for financing and funding for general purpose?,Where can I find any reliable and cheap Java hosting out there for only testing purposes?,0
192624,380266,380267,How can I speak English more fluently?,How I can speak English with fluency?,1
335843,658461,658462,What do Uber drivers do between rides in Bangalore?,What do Uber drivers do between rides?,0
382001,747058,747059,What is the geography of Greece like?,How would you describe the geography of Greece?,1
223397,440312,440313,What would you think about not going to college and going after what you actually want to do in life?,Does the Aadhar card number change after it has been updated?,0
317603,181603,623198,What are the best Nespresso capsule flavors?,What are some reviews of Nespresso refillable pods?,0
226523,446443,446444,How can I become popular in school?,How did you become popular in school?,0
134101,265563,265564,Where can I get best quality professional sound on DJ services in Sydney?,Where can I get best quality video DJ for party in Sydney?,1
48472,96503,96504,Where can I get most affordable printed lanyards in Melbourne?,Where can I get very reasonable for any promotional lanyards in Melbourne?,1
299348,587956,153124,What if a core is not present in Earth?,What is the Earth's inner core composed of and how do we know?,0
361898,708537,708538,Does the color of candle wax determine its temperature?,BDSM: Does the color of the candle wax determine how hot it is?,1
336474,480585,659685,How can I see @mentions for another Twitter user?,"Can I use 2 Twitter developer accounts, one for the streaming API access and another for giving my users oauth access to sign up?",0
154327,305230,305231,What are the best tips for early-stage startups?,What are your best tips for very early stage startups? ,1
19038,37988,37989,"If an adult is immature in behavior, does that make them more likely to be a victim of theft and street crime in a public place?",Is victim mentality a behavior more performed by women?,0
85772,170339,170340,Why India don't produce weapons rather than buying it from other countries?,Why can't India manufacture its own advanced weapons rather than importing?,1
80465,159840,159841,What are the best videos online about venture capital?,How can I best educate myself about the venture capital industry?,0
195032,384961,384962,How well compensated were blacksmiths in medieval Europe?,What would surprise me most if I could travel back in time to medieval Europe?,0
4896,9787,9788,What medical condition is associated with a hard pea sized lump under my skin?,How can I treat a hard pea sized lump under my skin?,1
322651,632938,632939,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Dunkirk?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Smilevo?",1
293982,577519,577520,How does one calculate the height and radius of a cylinder if only the volume are known?,How do you calculate the height and radius of a cylinder if their ratio and the volume are known?,1
281981,554299,554300,What are the top 10 consulting firms in Silicon Valley?,What was hot in Silicon Valley VC firms in May 2016?,0
121770,241308,241309,"Can US work clients pay directly into my bank account on a 01 Visa, or does it have to go through my agents account first?","I am a US citizen working as a real estate agent and domiciled in country X. If I take payment for my services by bank transfer to my US account, to whom do I pay taxes: the US government or country X's government?",0
20956,41806,41807,What would be some predator of rainbow trouts?,Different states of India and their dance form?,0
81961,162797,162798,"If, during the Apollo missions, astronaut(s) became stranded on the surface; do you think we would have ever been able to recover the bodies later?",Why did the mission of Apollo 9 take place after Apollo 8's?,0
298701,586697,586698,What is your opinion about love?,"According to you, what is Love?",1
178450,352493,352494,What is climate change and why is it important?,Is Cambodia experiencing climate-change?,0
265350,522059,240990,What is the difference between a business accelerator vs business incubator in layman terms?,What is the difference between startup incubators and accelerators?,1
24058,47996,47997,Why are beheading victims so passive?,Why are the victims of a beheading so seemingly calm knowing what is about to happen to them?,0
210559,415321,415322,Describe in one line what oyo is to you?,If you were asked to describe about Chennai in two lines what would it be?,0
61959,123219,123220,What is the background of GST?,What is background and benefits of GST?,0
328593,644441,644442,Where can I get fantastic value in Sydney for floor tiles?,Where can I get affordable shopping experience for floor tiles?,1
388958,760367,760368,What are some mind-blowing facts about F.C. Barcelona?,What are some cool facts about FC Barcelona?,1
2534,5068,5069,How do I distinguish between stock and flow variables?,What is the the difference between value and growth stocks?,0
362168,709054,709055,What is the typical beginner's salary in Germany for a mechanical engineer (Master) from one of the TU-9?,What is the typical beginner's salary in Germany for an electrical engineer (Master) from one of the TU-9?,1
393268,768593,768594,What does toe cheese taste like and how many calories per serving?,What does toe jam cheese taste like?,1
175815,347332,347333,Where and how is Milan's fashion week held?,Where is Milan Fashion Week held?,0
148324,293450,293451,I am a 14 year old girl and I am 5'7 (170cm) . Am I tall?,Why aren't tampons/pads free?,0
232332,457766,457767,Can I eat too much healthy food and not lose weight?,How can I lose weight if I can't afford healthy food?,0
373170,730151,730152,What is the oldest religion on earth?,Which is the oldest relegion in the world?,1
107418,213035,213036,What's the best gaming PC I can build for under $600?,What is a good gaming pc build for around $950?,0
114184,226370,226371,What are good gifts for a foreign visitor to bring when they're invited to someone's home in South Africa for the first time?,What are good gifts for a foreign visitor to bring when they're invited to someone's home in Vietnam for the first time?,0
310138,608818,608819,What's the best way to be sure to get into a really good college?,How do I get into a really good college?,1
212689,419458,419459,Are there solutions to ALL Introduction to Algorithms (CLRS) problems online?,Where can I get the answers to exercise in Introduction to algorithm 3rd edition by CLRS?,0
99417,197291,197292,What is the value of AMIE in India and in Western countries? Is it a valid degree as BTech and BE?,Does an engineer in India with only a B.E. degree have any value?,0
353873,693120,693121,What is the best way to interact with people you don't like?,Why do we like to interact with other people?,0
63601,126481,126482,Can a HR get a software engineer job?,Can a Software Engineer get a job in HR department?,0
247365,487108,487109,Who is the best director of Indian film industry?,Who is the best movie director in Indian cinema?,0
184280,363919,363920,Why do voltage drop when load increases?,Why is voltage drop when the load increase?,1
343119,672506,672507,Why do so many people ask questions on Quora that can be found in a Google search?,"Why do people put ridiculous questions on Quora when they can just Google them? Huh, Huh, Huh :-/",1
322449,632554,632555,How & why do I become a theoretical physicist?,What exactly does a theoretical physicist do?,0
398460,778542,778543,"What is the concept of the phrase ""payment without prejudice""?",What is limit of [math]\dfrac{1^4+2^4+3^4....n^4}{n^4}[/math]? where n tends to infinity?,0
329082,645377,645378,Which country (or countries) does not have any Muslim population?,Do all Muslims wish that Islam was the only religion on earth?,0
102006,202391,202392,How reliable are DCT transmissions?,How reliable is a dual-clutch transmission?,1
262296,516116,516117,At the debate Donald Trump said he was mad at Hillary Clinton for her terrible ads against him. Are they not mostly his own words?,Is trump a billionaire? How do we know for sure? Why do most people (Mark Cuban excepted) just take him at his word on this?,0
164883,325931,325932,What are some evils of modern society?,What can you do to rid yourself of modern society?,0
239427,471613,471614,How much do nurses get paid in different countries?,How much do nurses get paid?,1
252910,497886,497887,What happens if the US is governed only by the Republican party?,Which US political party (Democrat or Republican) is more hypocritical?,0
183113,361637,361638,Which is the best fridge service center in Hyderabad?,Where is the best Fridge service center in Hyderabad?,1
236314,465537,465538,Where can I download party songs like they play on dj?,How can I download music albums?,0
197602,389993,389994,Is there fat in the tip of nose?,Does the tip of the nose have any fat?,1
218271,28207,430348,Life Advice: How can I learn to love myself?,How do you learn to love yourself?,1
154378,305329,305330,How can I become rich?,"Rich people of Quora, what should I do to become rich?",1
79354,157640,157641,What are the things that are important in life?,What are most important things in life?,1
117366,232632,232633,What are the most difficult riffs in metal songs?,What are the most romantic metal songs?,0
46971,93523,93524,Which newspaper should I read?,Which newspapers do you read regularly?,0
213159,420370,332095,What was it like to be pregnant?,What does it feel like to be pregnant?,1
180273,356073,356074,Why did Quora delete my question?,Why was my answer on Quora deleted? How can I ask Quora to restore my answer?,0
310982,610452,610453,Which brand does Shahrukh Khan smoke?,Who is better? Salman Khan or Shahrukh Khan?,0
304885,598655,598656,What practices do cricket coaches advise for spinners?,What practices do cricket coaches offer to spinners?,1
195462,385799,385800,How is Sundar Pichai perceived internally at Google?,"Can Sundar Pichai, the new Google CEO, speak Tamil?",0
180500,356516,356517,What are some of the best PG-13 rated movies to watch on Netflix?,What are good movies on Netflix?,0
403393,787963,787964,What are typical tasks for a Hadoop Tester?,What is hadoop programming?,0
104763,207807,207808,Is it true that Jews (or some Zionist clique) rule the world?,How do Jews rule the world?,1
294229,578002,578003,How can I build an automobile in my garage? What parts will I need?,Do you need a garage door repair services in New York?,0
273615,538059,538060,Is buying a sloth legal in California?,Is it legal to have a sloth in California?,1
169599,335148,335149,How do you tell a woman's watch from a man's watch?,Which one is the best about men's watch? I need to tell my papa?,0
192997,380994,380995,If the universe is expanding faster than light then how do we see everything?,"If the universe is expanding much faster than the speed of light, could that be a reason why we don't see much of the universe, only the ""new events""?",0
290964,571672,571673,How Can I immigrate in Canada?,Which is the best way to immigrate to Canada?,1
33638,67041,67042,How exactly does banning Rs 500 and Rs 1000 notes curb the problem of black money?,How will demonetization of 500 and 1000 rupee notes stop corruption?,1
380089,743385,743386,What is the solution for Quora marking your every question as needing improvement?,"Why every time quora marks my question as ""need improvements""?",1
283786,557775,557776,What are good websites for escorts?,What is it like to be a male escort?,0
175041,345813,345814,"My parents won't let me wear makeup until I'm 18, what should I do?","My mom won't let me get breast implants, I'm almost 20. What should I do? Feeling very bad about my flat flat chest.",0
